number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mape,user_attrs_mda,state,mda,mape
68,0.18604651162790697,2026-05-28 15:41:32.880778,2026-05-28 15:41:41.766645,0 days 00:00:08.885867,0.5499685317908104,0.0670263393061289,8,25,1683,169,0.00029467304994652203,8.512614164826216e-08,0.787614407707808,0.008308427448005595,0.813953488372093,COMPLETE,0.813953488372093,0.008308427448005595
69,0.2558139534883721,2026-05-28 15:41:41.767217,2026-05-28 15:41:51.455948,0 days 00:00:09.688731,0.5441913718134788,0.07003800630263983,8,19,1680,171,0.0002712618957263441,7.26954019980782e-08,0.6978262506784434,0.010072583700309612,0.7441860465116279,COMPLETE,0.7441860465116279,0.010072583700309612
70,0.2790697674418605,2026-05-28 15:41:51.456492,2026-05-28 15:42:01.889975,0 days 00:00:10.433483,0.5116968040743047,0.08335478105973415,7,13,1890,151,0.001011374246585151,3.6302198409128996e-07,0.67250661345965,0.007944711227286608,0.7209302325581395,COMPLETE,0.7209302325581395,0.007944711227286608
71,0.2325581395348837,2026-05-28 15:42:01.891326,2026-05-28 15:42:12.043478,0 days 00:00:10.152152,0.5764199876345701,0.06270823422563386,9,25,1779,164,3.4692113133601275e-05,2.2915588294408547e-07,0.7909301986859698,0.00942904423105449,0.7674418604651163,COMPLETE,0.7674418604651163,0.00942904423105449
72,0.32558139534883723,2026-05-28 15:42:12.044103,2026-05-28 15:42:20.512306,0 days 00:00:08.468203,0.6275086786111571,0.03592674652327821,8,28,1596,181,0.002261557772964166,2.1151905392812382e-08,0.7794902487902124,0.009907869141819464,0.6744186046511628,COMPLETE,0.6744186046511628,0.009907869141819464
73,0.2325581395348837,2026-05-28 15:42:20.512905,2026-05-28 15:42:27.609093,0 days 00:00:07.096188,0.596839934093999,0.05006941778998737,9,36,1500,255,6.570264655510036e-06,8.989107571600898e-08,0.8249492741596639,0.012499132564097286,0.7674418604651163,COMPLETE,0.7674418604651163,0.012499132564097286
74,0.3023255813953488,2026-05-28 15:42:27.609640,2026-05-28 15:42:32.451834,0 days 00:00:04.842194,0.5316627554675883,0.09050558098615649,5,23,1375,137,0.00015291671260405412,1.2805266729672983e-06,0.8015782329363392,0.008508939296662422,0.6976744186046512,COMPLETE,0.6976744186046512,0.008508939296662422
75,0.2325581395348837,2026-05-28 15:42:32.452479,2026-05-28 15:42:36.435386,0 days 00:00:03.982907,0.5527640603909487,0.016221593916698474,3,31,1691,196,6.25506524304561e-05,1.107868459455744e-05,0.5019428566221584,0.0115825100402066,0.7674418604651163,COMPLETE,0.7674418604651163,0.0115825100402066
76,0.34883720930232553,2026-05-28 15:42:36.435954,2026-05-28 15:42:42.366898,0 days 00:00:05.930944,0.5697730751059255,0.027308333083340023,6,38,1465,156,0.00034968802541078157,5.275540993826627e-08,0.7582259100697272,0.014726677948923683,0.6511627906976745,COMPLETE,0.6511627906976745,0.014726677948923683
77,0.2790697674418605,2026-05-28 15:42:42.367468,2026-05-28 15:42:43.436566,0 days 00:00:01.069098,0.6566937926495428,0.030798776231640155,4,17,165,171,1.4484370343758861e-05,0.0010246711031737057,0.7082243088830465,0.008042779856739906,0.7209302325581395,COMPLETE,0.7209302325581395,0.008042779856739906
78,0.2558139534883721,2026-05-28 15:42:43.437149,2026-05-28 15:42:46.891874,0 days 00:00:03.454725,0.5280628371244889,0.15454436240406877,3,50,1600,189,1.005377574091558e-06,0.39941784672500136,0.7372757634387247,0.008050009377770158,0.7441860465116279,COMPLETE,0.7441860465116279,0.008050009377770158
79,0.34883720930232553,2026-05-28 15:42:46.892475,2026-05-28 15:42:51.884374,0 days 00:00:04.991899,0.5460246788465792,0.2279566745682592,4,26,1757,147,2.4071297053182877e-05,1.7054653108523432e-07,0.8523906122350692,0.009169176037586463,0.6511627906976745,COMPLETE,0.6511627906976745,0.009169176037586463
80,0.18604651162790697,2026-05-28 15:42:51.884934,2026-05-28 15:42:56.950544,0 days 00:00:05.065610,0.5009470771729634,0.07076033082293691,7,33,1097,234,0.00011142407196398571,1.295029204898815e-08,0.6139594554335457,0.014016644297202098,0.813953488372093,COMPLETE,0.813953488372093,0.014016644297202098
81,0.2093023255813954,2026-05-28 15:42:56.951096,2026-05-28 15:43:01.225755,0 days 00:00:04.274659,0.50696721184773,0.071519839777519,7,33,1094,213,8.459330631727916,1.2285985153603875e-08,0.6015711585103087,0.011045530673159335,0.7906976744186046,COMPLETE,0.7906976744186046,0.011045530673159335
82,0.37209302325581395,2026-05-28 15:43:01.226614,2026-05-28 15:43:05.000084,0 days 00:00:03.773470,0.5177914157317619,0.11135862336315147,8,40,924,233,5.7746560665706854e-05,2.8469130206320464e-08,0.5756203004895287,0.015439897016767042,0.627906976744186,COMPLETE,0.627906976744186,0.015439897016767042
83,0.2790697674418605,2026-05-28 15:43:05.000652,2026-05-28 15:43:11.291945,0 days 00:00:06.291293,0.58779126066601,0.06283177262800048,7,43,1646,245,0.00010581158442692606,1.3011233656138903e-08,0.6428596793207472,0.010303949882765607,0.7209302325581395,COMPLETE,0.7209302325581395,0.010303949882765607
84,0.2558139534883721,2026-05-28 15:43:11.292466,2026-05-28 15:43:16.921057,0 days 00:00:05.628591,0.5694549693500538,0.07942867121457446,8,30,1182,221,8.044140644101306e-06,1.2228467492637158e-07,0.9726916901738623,0.013486462253551861,0.7441860465116279,COMPLETE,0.7441860465116279,0.013486462253551861
85,0.2325581395348837,2026-05-28 15:43:16.921580,2026-05-28 15:43:18.395951,0 days 00:00:01.474371,0.5008638586070269,0.0428363839585504,3,35,658,200,0.00015491037468573303,2.133445033968408e-08,0.6155254466048907,0.012324108827235747,0.7674418604651163,COMPLETE,0.7674418604651163,0.012324108827235747
86,0.2558139534883721,2026-05-28 15:43:18.396428,2026-05-28 15:43:29.279224,0 days 00:00:10.882796,0.9523602761653163,0.052328269366751494,9,20,1555,234,0.00035686480183499524,0.0002446922827145348,0.6559018242250487,0.010444063552377845,0.7441860465116279,COMPLETE,0.7441860465116279,0.010444063552377845
87,0.2093023255813954,2026-05-28 15:43:29.279804,2026-05-28 15:43:38.298262,0 days 00:00:09.018458,0.5345601642724824,0.03335770318719402,8,25,1815,207,2.6749543771689384e-06,0.07552857050224746,0.8308552447976552,0.009728530152709674,0.7906976744186046,COMPLETE,0.7906976744186046,0.009728530152709674
88,0.2325581395348837,2026-05-28 15:43:38.298786,2026-05-28 15:43:43.558920,0 days 00:00:05.260134,0.6062616141242534,0.03827390367853215,5,48,1690,175,1.8638651241482528e-05,3.0189947273712248,0.7796988533025022,0.009249668032991555,0.7674418604651163,COMPLETE,0.7674418604651163,0.009249668032991555
89,0.32558139534883723,2026-05-28 15:43:43.559439,2026-05-28 15:43:49.639363,0 days 00:00:06.079924,0.8366432134825502,0.09110082080370613,7,56,1862,240,1.5382567681420823e-07,0.0020366625487990286,0.682001678671635,0.00829825244275853,0.6744186046511628,COMPLETE,0.6744186046511628,0.00829825244275853
90,0.3023255813953488,2026-05-28 15:43:49.639926,2026-05-28 15:43:55.001399,0 days 00:00:05.361473,0.62728194106922,0.018685013700036206,6,34,1405,128,3.8688400391944805e-05,0.0006699794374972647,0.8062616112827317,0.013154523568560186,0.6976744186046512,COMPLETE,0.6976744186046512,0.013154523568560186
91,0.2790697674418605,2026-05-28 15:43:55.001931,2026-05-28 15:44:00.418665,0 days 00:00:05.416734,0.5442947148237162,0.07279623971302436,5,38,1731,184,2.4845709350284023e-08,2.8925177646186046e-06,0.5874437374503317,0.011646971240539998,0.7209302325581395,COMPLETE,0.7209302325581395,0.011646971240539998
92,0.2790697674418605,2026-05-28 15:44:00.419200,2026-05-28 15:44:02.672139,0 days 00:00:02.252939,0.5604982047106847,0.06686110699409038,4,44,831,179,4.80276821027008e-07,5.4511862952221996e-05,0.6216434595457109,0.009906516205430073,0.7209302325581395,COMPLETE,0.7209302325581395,0.009906516205430073
93,0.2558139534883721,2026-05-28 15:44:02.672659,2026-05-28 15:44:08.734805,0 days 00:00:06.062146,0.5207047577435543,0.058651716366506575,6,27,1608,159,2.514170751443232e-08,2.2209185251531675e-05,0.5484382030798417,0.010912664022496597,0.7441860465116279,COMPLETE,0.7441860465116279,0.010912664022496597
