number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
48,0.12222222222222223,07:02.3,07:09.7,0 days 00:00:07.367636,0.7306186043671236,0.07083311775817981,10,32,918,61,0.0016500536292103133,1.0412750521519361e-07,0.8407603555876964,249,0.002637063725213745,0.8777777777777778,COMPLETE,0.8777777777777778,0.002637063725213745,249
49,0.05555555555555558,07:09.7,07:15.9,0 days 00:00:06.166159,0.5266527717682082,0.030074961419144567,12,70,1020,90,1.256789456032144,6.718640232064332,0.5677114235355074,299,0.0017070616869436178,0.9444444444444444,COMPLETE,0.9444444444444444,0.0017070616869436178,299
50,0.0888888888888889,07:15.9,07:18.0,0 days 00:00:02.166827,0.5622704028076865,0.08828260853821314,12,84,1727,74,0.2798066889081733,0.024486541913705948,0.8024969161428376,54,0.0024223329795284992,0.9111111111111111,COMPLETE,0.9111111111111111,0.0024223329795284992,54
51,0.0888888888888889,07:18.0,07:20.1,0 days 00:00:02.077220,0.6534106662665269,0.150115591722322,14,78,1440,19,4.3801131476361776e-08,0.6013019806780135,0.5536584865095786,45,0.002076867901741742,0.9111111111111111,COMPLETE,0.9111111111111111,0.002076867901741742,45
52,0.033333333333333326,07:20.1,07:22.5,0 days 00:00:02.403731,0.6330367811729433,0.10566489936087466,14,91,1572,30,1.8343200758865698e-07,1.558547612807437,0.5413618674647991,65,0.002488566754250909,0.9666666666666667,COMPLETE,0.9666666666666667,0.002488566754250909,65
53,0.0444444444444444,07:22.5,07:26.8,0 days 00:00:04.266234,0.6792932425790231,0.060335110757397455,13,83,1270,45,1.3925138845880695e-07,0.14267266184902633,0.5189449143324237,161,0.0020358828364130067,0.9555555555555556,COMPLETE,0.9555555555555556,0.0020358828364130067,161
54,0.1333333333333333,07:26.8,07:28.8,0 days 00:00:02.037070,0.7025836057710574,0.07479949154065008,5,76,1164,15,0.00011954568761767059,0.2930817514491716,0.5881635499200866,74,0.002211135478837557,0.8666666666666667,COMPLETE,0.8666666666666667,0.002211135478837557,74
55,0.06666666666666665,07:28.8,07:34.0,0 days 00:00:05.150136,0.6020546797840346,0.04990799556802302,9,64,1392,218,1.1280110923438747e-06,2.7991938835635986,0.5004578881309407,245,0.0026289040686598444,0.9333333333333333,COMPLETE,0.9333333333333333,0.0026289040686598444,245
56,0.033333333333333326,07:34.0,07:35.5,0 days 00:00:01.512824,0.5792715970073427,0.11752538785579163,3,47,1670,53,1.132118255818993e-05,0.012160276242919222,0.6779851252245144,112,0.002235640880006389,0.9666666666666667,COMPLETE,0.9666666666666667,0.002235640880006389,112
57,0.11111111111111116,07:35.5,07:39.1,0 days 00:00:03.607363,0.747770491223963,0.21914755037238556,11,9,1089,39,0.00027562323319401343,0.3860273517376896,0.7181763047220949,49,0.0025960484828399686,0.8888888888888888,COMPLETE,0.8888888888888888,0.0025960484828399686,49
58,0.05555555555555558,07:39.1,07:50.4,0 days 00:00:11.294384,0.9486685323954551,0.03762846268464928,8,40,969,26,0.004927378678527796,7.610727742711951e-06,0.988891847074983,514,0.0019204296257051712,0.9444444444444444,COMPLETE,0.9444444444444444,0.0019204296257051712,514
59,0.21111111111111114,07:50.4,07:56.7,0 days 00:00:06.339910,0.8899019334193683,0.08643323759573583,7,5,669,129,3.862450234109989e-05,0.0038263938199971427,0.7545551788516998,56,0.0032506562689205956,0.7888888888888889,COMPLETE,0.7888888888888889,0.0032506562689205956,56
60,0.09999999999999998,07:56.7,08:04.8,0 days 00:00:08.113924,0.6202883265341345,0.09851575154409266,15,16,1245,65,4.535894225640652,1.112468046165388e-06,0.5602762717751393,181,0.0028181533365391866,0.9,COMPLETE,0.9,0.0028181533365391866,181
61,0.0444444444444444,08:04.8,08:12.2,0 days 00:00:07.327266,0.7909981738997103,0.03324437203198329,8,53,808,47,0.0009175332741032849,5.1670979502237815,0.9699147062974962,360,0.0018616442043069806,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018616442043069806,360
62,0.1444444444444445,08:12.2,08:16.2,0 days 00:00:04.065060,0.8242300658575159,0.025446969507122753,10,95,1167,39,0.005920332806804723,9.661324818236775,0.9526337005182565,179,0.002239363832698093,0.8555555555555555,COMPLETE,0.8555555555555555,0.002239363832698093,179
63,0.06666666666666665,08:16.2,08:30.9,0 days 00:00:14.653939,0.8653760538467361,0.015236445810484897,9,19,981,57,0.039641773005455155,1.328556889445141,0.9805315029611376,326,0.002663398895774706,0.9333333333333333,COMPLETE,0.9333333333333333,0.002663398895774706,326
64,0.0888888888888889,08:30.9,08:39.6,0 days 00:00:08.750958,0.5433963680226367,0.04446379207543972,12,26,467,255,0.022735119267692925,0.8659064479563191,0.9200433839328366,265,0.00251471375864423,0.9111111111111111,COMPLETE,0.9111111111111111,0.00251471375864423,265
65,0.05555555555555558,08:39.6,08:44.9,0 days 00:00:05.259014,0.636386535656689,0.03345172524892365,4,38,1330,196,0.002007030728374824,3.3181738234277454,0.9001828305423485,452,0.002776537313239782,0.9444444444444444,COMPLETE,0.9444444444444444,0.002776537313239782,452
66,0.12222222222222223,08:44.9,09:05.3,0 days 00:00:20.410081,0.9488870521047462,0.021396416332045354,9,30,1525,74,0.47600778922273207,0.001127228364532097,0.8713939695079198,457,0.0030026671135824595,0.8777777777777778,COMPLETE,0.8777777777777778,0.0030026671135824595,457
67,0.033333333333333326,09:05.3,09:09.8,0 days 00:00:04.528585,0.7596072925920622,0.06668891898083906,10,74,879,85,1.4086447271214186,8.1285683036055e-05,0.9446422073691904,152,0.0026223792543270726,0.9666666666666667,COMPLETE,0.9666666666666667,0.0026223792543270726,152
