number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
95,0.033333333333333326,11:28.9,11:32.2,0 days 00:00:03.329996,0.5825955357893715,0.037878386285967146,3,24,1167,106,0.11516524194786598,4.77550558099246e-05,0.7222580194409752,416,0.001481117954778867,0.9666666666666667,COMPLETE,0.9666666666666667,0.001481117954778867,416
96,0.022222222222222254,11:32.2,11:34.6,0 days 00:00:02.412402,0.5926638459594689,0.07530853900465766,4,20,1095,114,0.05298971722914335,5.243663198868301e-06,0.742956045827113,169,0.0020316968214553737,0.9777777777777777,COMPLETE,0.9777777777777777,0.0020316968214553737,169
97,0.022222222222222254,11:34.6,11:36.8,0 days 00:00:02.190685,0.5917766857191975,0.07413343231548544,4,22,1063,110,0.05090369661792372,4.650064278351207e-06,0.7426240585414882,141,0.002179816899524059,0.9777777777777777,COMPLETE,0.9777777777777777,0.002179816899524059,141
98,0.05555555555555558,11:36.8,11:39.2,0 days 00:00:02.373592,0.5897412253488546,0.07647917159143663,4,22,1069,113,0.49216236454319306,8.682269655917432e-06,0.7429286907467988,171,0.0020301178542395824,0.9444444444444444,COMPLETE,0.9444444444444444,0.0020301178542395824,171
99,0.033333333333333326,11:39.2,11:42.4,0 days 00:00:03.229332,0.6239961257745704,0.05376526660282842,4,21,940,129,0.048749538172816784,4.048986812914918e-06,0.7600619513991796,251,0.0018097625468611964,0.9666666666666667,COMPLETE,0.9666666666666667,0.0018097625468611964,251
100,0.0444444444444444,11:42.4,11:45.6,0 days 00:00:03.134929,0.6031002976520394,0.07224746327275867,4,30,1125,124,0.023155047097111355,1.4385934063891853e-05,0.7113573042654419,271,0.0019291019231380399,0.9555555555555556,COMPLETE,0.9555555555555556,0.0019291019231380399,271
101,0.033333333333333326,11:45.6,11:48.1,0 days 00:00:02.519697,0.5388671010249325,0.06695663188820308,3,19,1193,112,0.082965959806905,5.707507253895814e-06,0.7396797535067898,214,0.0017956441033918401,0.9666666666666667,COMPLETE,0.9666666666666667,0.0017956441033918401,214
102,0.022222222222222254,11:48.1,11:50.3,0 days 00:00:02.182294,0.5942248362734581,0.06341514248562671,3,27,1040,99,0.19605462772376525,4.928290638449418e-07,0.6960992296372128,219,0.001683712832211941,0.9777777777777777,COMPLETE,0.9777777777777777,0.001683712832211941,219
103,0.033333333333333326,11:50.3,11:52.3,0 days 00:00:02.083400,0.5690224251475051,0.0605509472702031,3,27,1016,97,0.23552112187036348,3.135646316750905e-05,0.6939292690551827,186,0.00183373084905538,0.9666666666666667,COMPLETE,0.9666666666666667,0.00183373084905538,186
104,0.022222222222222254,11:52.3,11:55.4,0 days 00:00:03.077849,0.5934164552437962,0.05644891807892284,4,17,1098,137,0.3545970109677592,4.865307545217032e-07,0.7349055092329926,219,0.001793061021116645,0.9777777777777777,COMPLETE,0.9777777777777777,0.001793061021116645,219
105,0.033333333333333326,11:55.4,11:58.6,0 days 00:00:03.222266,0.5930911118195792,0.05588727665127411,4,15,1097,137,0.16379199230908348,1.315982196976155e-06,0.7314638289444839,240,0.001741794120650022,0.9666666666666667,COMPLETE,0.9666666666666667,0.001741794120650022,240
106,0.0444444444444444,11:58.6,12:00.8,0 days 00:00:02.170375,0.603866245581077,0.0637719711540188,3,18,1049,118,0.3176226465017154,6.587821483561574e-07,0.7058385167283074,222,0.0018189850079312557,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018189850079312557,222
107,0.0444444444444444,12:00.8,12:04.4,0 days 00:00:03.579972,0.6143185972390768,0.032198333061647474,3,7,990,108,0.7560178115612759,3.052902302266278e-06,0.7484225724510332,400,0.0015058848958541633,0.9555555555555556,COMPLETE,0.9555555555555556,0.0015058848958541633,400
108,0.05555555555555558,12:04.4,12:07.9,0 days 00:00:03.482642,0.638447004936646,0.046954623205672584,4,20,1261,126,0.01576534662475376,0.0001137165622036676,0.7579581697982497,268,0.0016220513181927742,0.9444444444444444,COMPLETE,0.9444444444444444,0.0016220513181927742,268
109,0.0444444444444444,12:07.9,12:11.7,0 days 00:00:03.827149,0.5616992471455444,0.035998405539506784,4,28,1132,102,0.03632898195448551,3.3384564505335e-07,0.7656963197446234,317,0.0019748902286707165,0.9555555555555556,COMPLETE,0.9555555555555556,0.0019748902286707165,317
110,0.022222222222222254,12:11.7,12:14.4,0 days 00:00:02.647869,0.6510390311149808,0.042736473604426235,3,17,966,132,0.051115096370189836,1.6871752151207633e-07,0.7129542588958879,271,0.0015821353311025763,0.9777777777777777,COMPLETE,0.9777777777777777,0.0015821353311025763,271
111,0.033333333333333326,12:14.4,12:18.1,0 days 00:00:03.710522,0.6298893580169664,0.041360143769075465,3,13,954,92,0.07373941753535895,1.2199546530255304e-07,0.7290799063181626,395,0.0014404770824020603,0.9666666666666667,COMPLETE,0.9666666666666667,0.0014404770824020603,395
112,0.033333333333333326,12:18.1,12:21.4,0 days 00:00:03.340188,0.5834269417896283,0.043491224746688366,3,17,1036,134,0.05147793385784404,5.070749273222072e-07,0.6828053531919588,407,0.0014295180023587827,0.9666666666666667,COMPLETE,0.9666666666666667,0.0014295180023587827,407
113,0.05555555555555558,12:21.4,12:25.3,0 days 00:00:03.842440,0.5928776768785616,0.03882095247410838,4,25,1081,115,0.11332172498159304,2.1010954980965157e-06,0.7153798943593807,311,0.0022601659337950727,0.9444444444444444,COMPLETE,0.9444444444444444,0.0022601659337950727,311
114,0.033333333333333326,12:25.3,12:28.2,0 days 00:00:02.939871,0.6578136860618524,0.051164156049813635,3,21,1228,144,0.4116259577243835,1.1097473336576402e-06,0.7721620642636811,324,0.0013136062897325146,0.9666666666666667,COMPLETE,0.9666666666666667,0.0013136062897325146,324
115,0.0444444444444444,12:28.2,12:30.1,0 days 00:00:01.954266,0.6497490986388603,0.0937173174242883,4,23,841,108,0.007288816445874959,1.2041909305084456e-05,0.704086033855467,113,0.0017890102864715847,0.9555555555555556,COMPLETE,0.9555555555555556,0.0017890102864715847,113
116,0.011111111111111072,12:30.2,12:33.9,0 days 00:00:03.711994,0.5727834725542873,0.058954794536037296,4,15,969,119,1.000669243434882,1.8482538080312603e-07,0.7884179906110985,305,0.001785470483792845,0.9888888888888889,COMPLETE,0.9888888888888889,0.001785470483792845,305
117,0.07777777777777772,12:33.9,12:38.1,0 days 00:00:04.224495,0.5769982156267803,0.07370038526549487,5,9,1187,98,0.9770137801659121,2.092677964170724e-05,0.7873833530263017,239,0.0019188471775190116,0.9222222222222223,COMPLETE,0.9222222222222223,0.0019188471775190116,239
118,0.033333333333333326,12:38.1,12:41.1,0 days 00:00:03.003448,0.550458858655523,0.05798499304255334,4,12,1132,118,0.6074526972096295,3.4223373538650867e-06,0.7440237229221716,218,0.0021798104789969483,0.9666666666666667,COMPLETE,0.9666666666666667,0.0021798104789969483,218
119,0.07777777777777772,12:41.1,12:44.4,0 days 00:00:03.261361,0.6127170185640034,0.08260461310180729,5,14,898,79,0.2595731244566971,8.93095489030803e-06,0.8113100184705745,164,0.001968684729446245,0.9222222222222223,COMPLETE,0.9222222222222223,0.001968684729446245,164
120,0.0444444444444444,12:44.4,12:46.5,0 days 00:00:02.125335,0.5317070202218313,0.06539926559637264,4,31,1296,88,3.1818857795603246,3.401195850184331e-05,0.7816519025453778,131,0.001961175986235243,0.9555555555555556,COMPLETE,0.9555555555555556,0.001961175986235243,131
121,0.033333333333333326,12:46.5,12:49.2,0 days 00:00:02.688502,0.5997235664376807,0.05397418619655338,3,17,1009,124,0.17885674249524558,7.00816893887808e-08,0.7256488528264655,295,0.0015784181173655804,0.9666666666666667,COMPLETE,0.9666666666666667,0.0015784181173655804,295
122,0.0444444444444444,12:49.2,12:53.2,0 days 00:00:04.020755,0.6236204582655482,0.04589306388215709,3,21,944,132,1.5412458269033813,2.3455975717650922e-07,0.8388709631126172,518,0.001603417629394607,0.9555555555555556,COMPLETE,0.9555555555555556,0.001603417629394607,518
123,0.033333333333333326,12:53.2,12:56.5,0 days 00:00:03.273756,0.5587373765152313,0.050523452400970274,4,19,965,111,0.02534743669317663,3.814773766193593e-07,0.7380154387674003,257,0.0018141796048888174,0.9666666666666667,COMPLETE,0.9666666666666667,0.0018141796048888174,257
124,0.0444444444444444,12:56.5,12:59.0,0 days 00:00:02.532598,0.5734217744568827,0.06853944433504808,4,15,1069,120,0.05665815718930039,1.1674863556965141e-07,0.7525359663760323,174,0.0017993347616852612,0.9555555555555556,COMPLETE,0.9555555555555556,0.0017993347616852612,174
125,0.05555555555555558,12:59.0,13:01.5,0 days 00:00:02.517501,0.5871822550520047,0.05992857684048966,3,26,985,102,0.12395350417401904,1.5792756482869436e-07,0.7178985857000175,279,0.0017668176669796306,0.9444444444444444,COMPLETE,0.9444444444444444,0.0017668176669796306,279
126,0.033333333333333326,13:01.5,13:08.8,0 days 00:00:07.301475,0.6089307317615484,0.03490389291498828,5,16,1100,138,0.38557598846435703,8.971470071691981e-07,0.7636375278205481,486,0.001988585949177738,0.9666666666666667,COMPLETE,0.9666666666666667,0.001988585949177738,486
127,0.0444444444444444,13:08.8,13:12.6,0 days 00:00:03.794111,0.6332641729817646,0.04814300999249813,4,20,767,127,1.9894198632472337,5.485142660606417e-06,0.7971513893683961,245,0.0018254687914292234,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018254687914292234,245
128,0.033333333333333326,13:12.6,13:19.7,0 days 00:00:07.067102,0.6687708235525519,0.040459237362289555,5,11,1039,150,1.0971910701365324,3.232148177993177e-08,0.6476077074171849,387,0.001918491649637185,0.9666666666666667,COMPLETE,0.9666666666666667,0.001918491649637185,387
129,0.05555555555555558,13:19.7,13:21.8,0 days 00:00:02.097490,0.5186470116427713,0.05516546634474237,3,23,1175,116,0.01466175734833697,1.4725775648930826e-06,0.6659749763347868,216,0.001715123733389467,0.9444444444444444,COMPLETE,0.9444444444444444,0.001715123733389467,216
130,0.011111111111111072,13:21.8,13:24.4,0 days 00:00:02.628469,0.5953524078822374,0.06279408000604245,4,18,1128,95,4.806418661605399e-06,7.348765944470576e-07,0.6899933943987344,180,0.0020607290594337594,0.9888888888888889,COMPLETE,0.9888888888888889,0.0020607290594337594,180
131,0.022222222222222254,13:24.4,13:27.4,0 days 00:00:02.957349,0.5936448681746236,0.06320127541500385,4,18,1143,105,4.731198313030895e-07,6.669375974912981e-07,0.6882347563243273,228,0.002099293192163431,0.9777777777777777,COMPLETE,0.9777777777777777,0.002099293192163431,228
132,0.0444444444444444,13:27.4,13:30.0,0 days 00:00:02.611585,0.621053133983999,0.0725821802170536,3,24,1109,92,1.8808139658428526e-05,2.0220242475344012e-07,0.7276305535013612,297,0.0014993809090069682,0.9555555555555556,COMPLETE,0.9555555555555556,0.0014993809090069682,297
133,0.033333333333333326,13:30.0,13:32.9,0 days 00:00:02.918597,0.569333460782575,0.053116314440084376,4,13,1246,96,5.7731793527857574e-06,5.632294789502986e-05,0.7068429393172936,210,0.002068796200421507,0.9666666666666667,COMPLETE,0.9666666666666667,0.002068796200421507,210
134,0.0444444444444444,13:32.9,13:36.8,0 days 00:00:03.923783,0.6063068672849313,0.0437248751477549,4,28,1046,81,1.7784884761059277e-06,4.335587216674801e-07,0.6747504415289438,333,0.002013575310663163,0.9555555555555556,COMPLETE,0.9555555555555556,0.002013575310663163,333
135,0.0444444444444444,13:36.8,13:38.7,0 days 00:00:01.857021,0.6428465319179434,0.10278368108844775,3,9,915,111,0.6367453922423681,2.3643874595648428e-06,0.7498018440299944,170,0.0019072969147430714,0.9555555555555556,COMPLETE,0.9555555555555556,0.0019072969147430714,170
136,0.033333333333333326,13:38.7,13:45.6,0 days 00:00:06.940102,0.5813511332775322,0.03181720862123588,5,17,1020,103,0.20597173398763602,6.431069624374572e-08,0.7377609854071496,427,0.0019239820013832254,0.9666666666666667,COMPLETE,0.9666666666666667,0.0019239820013832254,427
137,0.033333333333333326,13:45.6,13:48.0,0 days 00:00:02.418225,0.5434595596991838,0.07861787011698393,4,22,984,142,0.0002563983105132653,8.526952359384555e-07,0.7039982887351481,187,0.001853660395863211,0.9666666666666667,COMPLETE,0.9666666666666667,0.001853660395863211,187
138,0.033333333333333326,13:48.0,13:50.4,0 days 00:00:02.339830,0.5988017148401407,0.05940430450956384,3,20,1068,98,0.08858503387862937,8.931101736875822e-05,0.8224597383594652,243,0.0017086984447504052,0.9666666666666667,COMPLETE,0.9666666666666667,0.0017086984447504052,243
139,0.06666666666666665,13:50.4,13:54.1,0 days 00:00:03.670770,0.6168011756136217,0.08646127104761023,5,26,1357,123,0.033493805082418844,0.0002146935658123079,0.7186414460781974,247,0.0021994204699294284,0.9333333333333333,COMPLETE,0.9333333333333333,0.0021994204699294284,247
140,0.022222222222222254,13:54.1,13:56.9,0 days 00:00:02.895217,0.5889419441838738,0.04927537573487228,4,15,1900,109,1.0105477905826612,0.0005879686999607354,0.6320257070548413,180,0.0021507998751909715,0.9777777777777777,COMPLETE,0.9777777777777777,0.0021507998751909715,180
141,0.022222222222222254,13:56.9,13:59.9,0 days 00:00:02.952075,0.596526260791151,0.06436418396553335,4,18,1135,115,4.035915287061156e-07,5.732782821540077e-07,0.695644916218213,225,0.0017482309125196709,0.9777777777777777,COMPLETE,0.9777777777777777,0.0017482309125196709,225
142,0.033333333333333326,13:59.9,14:02.8,0 days 00:00:02.891310,0.5722559392818908,0.06908571076314021,4,18,1161,106,1.2626212501339125e-06,6.830513699804253e-07,0.6905150503193593,227,0.0018007604145845104,0.9666666666666667,COMPLETE,0.9666666666666667,0.0018007604145845104,227
143,0.033333333333333326,14:02.8,14:05.5,0 days 00:00:02.753711,0.6278788493623736,0.06136895127673421,4,21,1121,104,4.3469680668926597e-07,1.5358964075589136e-06,0.6866112902585251,206,0.001934031794450167,0.9666666666666667,COMPLETE,0.9666666666666667,0.001934031794450167,206
144,0.0444444444444444,14:05.5,14:08.5,0 days 00:00:02.978952,0.5612940036475251,0.05762273462746951,3,14,1204,86,9.558210897077874e-08,2.53594663855498e-07,0.7574070915225501,365,0.00168654471228285,0.9555555555555556,COMPLETE,0.9555555555555556,0.00168654471228285,365
145,0.07777777777777772,14:08.5,14:11.7,0 days 00:00:03.149564,0.5930228961121071,0.06557009598728145,5,24,1077,95,7.014311977801141e-07,6.306228782076116e-06,0.7445733528280731,176,0.0018919527336829843,0.9222222222222223,COMPLETE,0.9222222222222223,0.0018919527336829843,176
146,0.033333333333333326,14:11.7,14:13.9,0 days 00:00:02.216756,0.5814803941653529,0.07497560930636696,4,19,1159,120,2.2958614165056655e-07,3.7745269596945764e-06,0.6540818411758942,140,0.0019831551540925633,0.9666666666666667,COMPLETE,0.9666666666666667,0.0019831551540925633,140
147,0.033333333333333326,14:13.9,14:17.3,0 days 00:00:03.434909,0.6073734026932159,0.053304851771578884,3,16,950,129,0.4512384412554027,1.6398166596897895e-07,0.7763296926904993,410,0.0015472982489343173,0.9666666666666667,COMPLETE,0.9666666666666667,0.0015472982489343173,410
148,0.022222222222222254,14:17.3,14:20.7,0 days 00:00:03.417959,0.5547610019989517,0.04526605299936937,4,10,1001,90,6.787628921569922,1.7805265647542493e-05,0.7331007414637692,240,0.0021511722256742495,0.9777777777777777,COMPLETE,0.9777777777777777,0.0021511722256742495,240
149,0.0444444444444444,14:20.7,14:24.4,0 days 00:00:03.619977,0.6203847165062071,0.039497200111759695,3,13,868,101,0.32326220173023834,3.961762514199318e-07,0.7681438088567815,434,0.0014849877198064034,0.9555555555555556,COMPLETE,0.9555555555555556,0.0014849877198064034,434
150,0.06666666666666665,14:24.4,14:29.9,0 days 00:00:05.522481,0.5885030404623713,0.0567257991308318,5,33,1099,71,3.0045940573609875,0.0003344208210509746,0.8561128201990555,400,0.0020799602779549976,0.9333333333333333,COMPLETE,0.9333333333333333,0.0020799602779549976,400
151,0.022222222222222254,14:29.9,14:34.3,0 days 00:00:04.419563,0.5900270049573724,0.04987639796982491,4,15,1791,108,0.99517512382086,2.3746062075495616e-06,0.5911259182217681,389,0.0018101718647914721,0.9777777777777777,COMPLETE,0.9777777777777777,0.0018101718647914721,389
152,0.033333333333333326,14:34.3,14:37.3,0 days 00:00:03.000446,0.577604338051558,0.04851756288600468,4,17,1892,112,0.779116590610099,0.0009162325202540107,0.6224095646238419,201,0.0017677770297972047,0.9666666666666667,COMPLETE,0.9666666666666667,0.0017677770297972047,201
153,0.033333333333333326,14:37.3,14:40.2,0 days 00:00:02.872244,0.6098000509986308,0.06113264637784058,4,19,1864,109,1.4611958541197982,0.000740108086416664,0.7133820279147273,197,0.001765235071270951,0.9666666666666667,COMPLETE,0.9666666666666667,0.001765235071270951,197
154,0.033333333333333326,14:40.2,14:43.2,0 days 00:00:03.062951,0.5955748620259006,0.042509059955618635,4,22,1563,114,8.271995222457648e-05,0.0004000073747307745,0.6716289232424776,221,0.002077123175518053,0.9666666666666667,COMPLETE,0.9666666666666667,0.002077123175518053,221
155,0.033333333333333326,14:43.2,14:47.2,0 days 00:00:03.927263,0.6024257730335466,0.037254350635060586,3,15,1623,133,0.5746456870017433,0.00014257327114890574,0.6994576740867573,487,0.0015109509076573577,0.9666666666666667,COMPLETE,0.9666666666666667,0.0015109509076573577,487
156,0.033333333333333326,14:47.2,14:51.1,0 days 00:00:03.887212,0.5672435849651498,0.050185741869024386,4,20,1960,99,3.651058126530281e-06,0.0017466676979904221,0.6049051459909736,302,0.001937039074275673,0.9666666666666667,COMPLETE,0.9666666666666667,0.001937039074275673,302
157,0.033333333333333326,14:51.1,14:54.3,0 days 00:00:03.264541,0.6364563052012799,0.07060909631176301,5,17,1727,105,0.1613270764219817,1.0573089901214703e-06,0.6341330238643533,165,0.001890480458964336,0.9666666666666667,COMPLETE,0.9666666666666667,0.001890480458964336,165
158,0.19999999999999996,14:54.3,15:06.9,0 days 00:00:12.565576,0.5829510163565655,0.046000894112029046,11,12,1234,118,8.849034050199703e-07,1.0993139024104403e-05,0.7892054606664353,116,0.003181518951274898,0.8,COMPLETE,0.8,0.003181518951274898,116
159,0.0444444444444444,15:06.9,15:09.5,0 days 00:00:02.621907,0.6149131510938288,0.06463313353270751,3,25,1035,111,5.796041562160155e-08,6.784053353918475e-07,0.72471246575433,278,0.0018477497248800068,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018477497248800068,278
160,0.0444444444444444,15:09.5,15:13.1,0 days 00:00:03.617850,0.5392277879714369,0.05437017670794955,12,88,1143,125,1.865096476884429,2.873725085486661e-07,0.6797657583357118,148,0.0024862512661801128,0.9555555555555556,COMPLETE,0.9555555555555556,0.0024862512661801128,148
161,0.022222222222222254,15:13.1,15:16.7,0 days 00:00:03.606654,0.5987178575328813,0.06542779348879672,4,18,1128,120,1.3932859459018296e-07,5.269992591083053e-07,0.6903968209180161,310,0.0019078189923864449,0.9777777777777777,COMPLETE,0.9777777777777777,0.0019078189923864449,310
162,0.033333333333333326,15:16.7,15:19.8,0 days 00:00:03.013872,0.5903297319368014,0.06248640974265252,4,22,1068,114,0.04135017205429652,1.8654817984480252e-06,0.7124501216056468,239,0.0020230713487653707,0.9666666666666667,COMPLETE,0.9666666666666667,0.0020230713487653707,239
163,0.022222222222222254,15:19.8,15:22.9,0 days 00:00:03.183015,0.5731367338571118,0.055875158860575876,4,18,1178,116,1.02551267391707,0.005797710895508203,0.6993013710900075,247,0.001711480105530343,0.9777777777777777,COMPLETE,0.9777777777777777,0.001711480105530343,247
164,0.0444444444444444,15:22.9,15:25.8,0 days 00:00:02.837649,0.6007482051214027,0.07698944703709004,5,15,1101,105,2.011995009915565e-07,0.000567370265128076,0.7342304169271064,130,0.00205810144215812,0.9555555555555556,COMPLETE,0.9555555555555556,0.00205810144215812,130
165,0.11111111111111116,15:25.8,15:27.5,0 days 00:00:01.727288,0.6281391076771682,0.12668845003831009,4,7,1014,156,3.1484983428672793e-07,7.599921424353456e-07,0.7485035651792726,79,0.001640926880060698,0.8888888888888888,COMPLETE,0.8888888888888888,0.001640926880060698,79
166,0.033333333333333326,15:27.5,15:30.3,0 days 00:00:02.745553,0.6123549573470449,0.069138676366258,3,19,967,93,0.09990790333976796,3.8965718635376755e-06,0.7219138930178965,318,0.001561754897189579,0.9666666666666667,COMPLETE,0.9666666666666667,0.001561754897189579,318
167,0.033333333333333326,15:30.3,15:33.7,0 days 00:00:03.467827,0.5876914224522701,0.0600368599967058,4,23,1209,101,0.24097684663404778,8.337549503587117e-08,0.7617401007734498,303,0.0016912571253085691,0.9666666666666667,COMPLETE,0.9666666666666667,0.0016912571253085691,303
168,0.05555555555555558,15:33.7,15:40.7,0 days 00:00:06.931852,0.5523468537962692,0.0511424452498256,10,50,1145,83,4.5410243214685895e-07,1.2591796181685108e-06,0.6602160448231986,320,0.002476986734165921,0.9444444444444444,COMPLETE,0.9444444444444444,0.002476986734165921,320
169,0.033333333333333326,15:40.7,15:44.0,0 days 00:00:03.343757,0.5651660712049413,0.04235156791631017,4,13,1276,139,5.92706605782851e-07,5.37090025783469e-07,0.7418747776102868,232,0.002008363470613896,0.9666666666666667,COMPLETE,0.9666666666666667,0.002008363470613896,232
170,0.011111111111111072,15:44.0,15:47.9,0 days 00:00:03.924667,0.5967526531881668,0.047596085945737686,3,21,1053,123,0.060825521898947695,3.4778870770763873e-07,0.5758927941202974,508,0.0015371757486551732,0.9888888888888889,COMPLETE,0.9888888888888889,0.0015371757486551732,508
171,0.022222222222222254,15:47.9,15:52.4,0 days 00:00:04.507306,0.5971944943868952,0.045655467518998856,3,20,1059,128,0.05013619994686593,3.1401468026023396e-07,0.5561429793453196,603,0.0016292724620283966,0.9777777777777777,COMPLETE,0.9777777777777777,0.0016292724620283966,603
172,0.033333333333333326,15:52.4,15:55.7,0 days 00:00:03.243279,0.5768343998845307,0.047805201112843386,3,16,1100,123,0.08297955224814815,2.1637850410065622e-07,0.6074571822247165,395,0.0016431031597473956,0.9666666666666667,COMPLETE,0.9666666666666667,0.0016431031597473956,395
173,0.022222222222222254,15:55.7,15:58.5,0 days 00:00:02.773661,0.6072558827672977,0.05839701510522767,4,22,1022,116,0.020417106426062946,1.2340442366233885e-07,0.5764225729525473,206,0.0017389818036943555,0.9777777777777777,COMPLETE,0.9777777777777777,0.0017389818036943555,206
174,0.033333333333333326,15:58.5,16:01.4,0 days 00:00:02.944107,0.6176475872516626,0.04013231575694669,3,17,926,108,3.0845288924839674e-07,3.6471722920467996e-07,0.5999184601840861,341,0.001506155434296076,0.9666666666666667,COMPLETE,0.9666666666666667,0.001506155434296076,341
175,0.033333333333333326,16:01.4,16:04.4,0 days 00:00:02.963735,0.5844518011697097,0.05329194874384984,4,27,1069,131,0.48420622288642623,8.853573821055058e-07,0.7555255705110008,205,0.0022822677106315243,0.9666666666666667,COMPLETE,0.9666666666666667,0.0022822677106315243,205
176,0.0444444444444444,16:04.4,16:07.2,0 days 00:00:02.800447,0.6478406789325366,0.03457693034397058,3,21,983,97,0.01051341688162043,6.604925228932897e-06,0.8070398854195235,295,0.00138201441306616,0.9555555555555556,COMPLETE,0.9555555555555556,0.00138201441306616,295
177,0.0444444444444444,16:07.2,16:09.7,0 days 00:00:02.499713,0.5957839666426484,0.06490425235951552,4,24,1137,109,1.5580105698271642e-06,0.00024140302003102654,0.7118472787629619,166,0.0018597128747610831,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018597128747610831,166
178,0.033333333333333326,16:09.7,16:12.4,0 days 00:00:02.759748,0.6224119965111817,0.050798989455197084,3,36,1029,122,0.06622164796958892,1.6125780919435062e-07,0.5674995830797074,314,0.001918729967321057,0.9666666666666667,COMPLETE,0.9666666666666667,0.001918729967321057,314
179,0.022222222222222254,16:12.4,16:14.6,0 days 00:00:02.136089,0.5785043651865677,0.1155326382026864,4,19,1207,114,0.030559563439726104,5.203816697295492e-07,0.6937733303997858,146,0.002120418071565458,0.9777777777777777,COMPLETE,0.9777777777777777,0.002120418071565458,146
180,0.0888888888888889,16:14.6,16:18.3,0 days 00:00:03.697951,0.6075814342133355,0.08224566813771915,5,14,1171,134,0.1322489391828043,3.7934894602730524e-05,0.5886823689006699,209,0.001997320364860623,0.9111111111111111,COMPLETE,0.9111111111111111,0.001997320364860623,209
181,0.0444444444444444,16:18.3,16:21.7,0 days 00:00:03.431226,0.557906674788151,0.04647891592649711,4,10,1001,88,5.1799450764092265,2.1510686493347593e-05,0.7358083135091744,231,0.0018665714055352538,0.9555555555555556,COMPLETE,0.9555555555555556,0.0018665714055352538,231
182,0.05555555555555558,16:21.7,16:25.0,0 days 00:00:03.279802,0.5526799326934273,0.04322726833462642,4,10,895,91,6.773481670076649,1.64685624331298e-05,0.7307982306232508,223,0.0020201578600584874,0.9444444444444444,COMPLETE,0.9444444444444444,0.0020201578600584874,223
183,0.033333333333333326,16:25.0,16:28.1,0 days 00:00:03.138384,0.5182511012861661,0.05792015955985549,4,16,1104,104,2.7487023199492464,0.017287546232213714,0.9063502861316928,247,0.0016817241682711393,0.9666666666666667,COMPLETE,0.9666666666666667,0.0016817241682711393,247
184,0.0444444444444444,16:28.1,16:30.1,0 days 00:00:02.013946,0.5682137489191545,0.04369214949196329,4,93,1054,97,1.416028382069743,2.184046756585468e-05,0.7236809896841502,123,0.002572487030086394,0.9555555555555556,COMPLETE,0.9555555555555556,0.002572487030086394,123
185,0.0444444444444444,16:30.1,16:33.6,0 days 00:00:03.429485,0.5942506166824626,0.03925420644046039,3,5,953,102,2.6103602927790056e-06,9.362840320074615e-06,0.7748424411230854,390,0.0015099134818519593,0.9555555555555556,COMPLETE,0.9555555555555556,0.0015099134818519593,390
186,0.06666666666666665,16:33.6,16:40.1,0 days 00:00:06.554710,0.58254418493909,0.03664190025452487,5,11,993,88,0.684173862333533,9.684718599939825e-05,0.7460558865361109,367,0.0019142078951812005,0.9333333333333333,COMPLETE,0.9333333333333333,0.0019142078951812005,367
187,0.1333333333333333,16:40.1,16:52.9,0 days 00:00:12.793125,0.5355836515679127,0.05399344628332131,14,18,1072,112,0.3324495373474695,2.843205723946628e-06,0.6199218317479215,276,0.003326477568320173,0.8666666666666667,COMPLETE,0.8666666666666667,0.003326477568320173,276
188,0.033333333333333326,16:52.9,16:56.3,0 days 00:00:03.384860,0.591278532348566,0.04865426423341025,4,21,1122,119,2.3074035983200525,5.2484814240655654e-05,0.6861022799941194,251,0.0018377731654528047,0.9666666666666667,COMPLETE,0.9666666666666667,0.0018377731654528047,251
189,0.0444444444444444,16:56.3,16:59.4,0 days 00:00:03.117521,0.6024991494540413,0.0629401531976795,3,13,1030,78,4.03914084605852,1.3708444944570546e-06,0.7032242943631835,380,0.0014672134845838453,0.9555555555555556,COMPLETE,0.9555555555555556,0.0014672134845838453,380
190,0.0444444444444444,16:59.4,17:01.9,0 days 00:00:02.474012,0.5718042615092033,0.0699113512421953,4,15,848,93,8.09342730886046,4.778630257358149e-06,0.6432012954772669,147,0.0020276145267923967,0.9555555555555556,COMPLETE,0.9555555555555556,0.0020276145267923967,147
191,0.022222222222222254,17:01.9,17:05.4,0 days 00:00:03.486840,0.5885133577848527,0.05021186487089128,4,15,1093,108,0.8307705104528808,2.4768713318687473e-06,0.589553032205087,274,0.001965752854973397,0.9777777777777777,COMPLETE,0.9777777777777777,0.001965752854973397,274
192,0.0444444444444444,17:05.4,17:08.7,0 days 00:00:03.334791,0.6106405681431345,0.04467351569452045,4,18,1778,107,1.1276264160601324,2.2250651133974466e-06,0.5832631787986912,235,0.0017171793663795822,0.9555555555555556,COMPLETE,0.9555555555555556,0.0017171793663795822,235
