列ID,列名,分组,是否核心因子,有效样本数,均值
ID00185926,烧结用矿粉：国产：消耗量：山西省：64家钢铁企业（周度）,需求-消费,否,3764,1.026291
ID00185927,烧结用矿粉：国产：消耗量：唐山市：64家钢铁企业（周度）,需求-消费,否,3762,2.685354
ID00185928,烧结用矿粉：国产：消耗量：长江沿江地区：64家钢铁企业（周度）,需求-消费,否,3768,0.392545
ID00185931,贸易矿：进口：库存：45个港口（周度）,标的(Y变量),是,3760,6778.557457
ID00185983,烧结用矿粉：进口：库存：南方大区：64家钢铁企业（周度）,标的(Y变量),否,3743,514.034924
ID00185984,烧结用矿粉：进口：库存：山东省：64家钢铁企业（周度）,标的(Y变量),否,3746,176.217224
ID00185985,烧结用矿粉：进口：库存：山西省：64家钢铁企业（周度）,标的(Y变量),否,3752,114.466295
ID00185986,烧结用矿粉：进口：库存：唐山市：64家钢铁企业（周度）,标的(Y变量),否,3758,284.645051
ID00185987,烧结用矿粉：进口：库存：长江沿江地区：64家钢铁企业（周度）,标的(Y变量),否,3749,107.567077
ID00185992,烧结用矿粉：进口：消耗量：64家钢铁企业（周度）,需求-消费,否,3771,59.112912
ID00185993,烧结用矿粉：进口：消耗量：邯郸、邢台：64家钢铁企业（周度）,需求-消费,否,3771,14.467062
ID00185994,烧结用矿粉：进口：消耗量：南方大区：64家钢铁企业（周度）,需求-消费,否,3749,11.078645
ID00185995,烧结用矿粉：进口：消耗量：山东省：64家钢铁企业（周度）,需求-消费,否,3766,6.742902
ID00185996,烧结用矿粉：进口：消耗量：山西省：64家钢铁企业（周度）,需求-消费,否,3765,4.323737
ID00185997,烧结用矿粉：进口：消耗量：唐山市：64家钢铁企业（周度）,需求-消费,否,3760,18.295270
ID00185998,烧结用矿粉：进口：消耗量：长江沿江地区：64家钢铁企业（周度）,需求-消费,否,3739,4.173423
ID00185999,烧结用矿粉：进口：库存消费比：64家钢铁企业（周度）,标的(Y变量),否,3589,26.311722
ID00186000,烧结矿：进口：配比：64家钢铁企业（周度）,供需-配比,否,3755,87.691036
ID00186001,铁矿石：进口：平均可用天数：64家钢铁企业（周度）,价格-矿石价格,否,3745,24.748999
ID00186053,铁矿石：进口：库存：鲅鱼圈港（周度）,标的(Y变量),否,3757,267.479500
ID00186098,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）,需求-疏港,是,3754,259.181190
ID00186099,铁矿石：进口：日均疏港量合计：41个港口（周度）,需求-疏港,是,3753,286.459440
ID00186100,铁矿石：进口：日均疏港量合计：45个港口（周度）,标的(Y变量),是,3754,294.537397
ID00186103,铁矿石：进口：日均疏港量：曹妃甸港（周度）,需求-疏港,是,3747,29.005930
ID00186111,铁矿石：进口：日均疏港量：黄骅港（周度）,需求-疏港,是,3748,12.275304
ID00186112,铁矿石：进口：日均疏港量：江阴港（周度）,需求-疏港,是,3754,12.266939
ID00186114,铁矿石：进口：日均疏港量：京唐港（周度）,需求-疏港,是,3751,29.956657
ID00186116,铁矿石：进口：日均疏港量：岚桥港（周度）,需求-疏港,是,3756,7.391315
ID00186117,铁矿石：进口：日均疏港量：岚山港（周度）,需求-疏港,是,3761,12.873281
ID00186119,铁矿石：进口：日均疏港量：龙口港（周度）,需求-疏港,是,3747,0.518371
ID00186130,铁矿石：进口：日均疏港量：青岛港（周度）,需求-疏港,是,3738,29.680696
ID00186132,铁矿石：进口：日均疏港量：日照港（周度）,需求-疏港,是,3750,22.558443
ID00186138,铁矿石：进口：日均疏港量：天津港（周度）,需求-疏港,是,3765,22.347405
ID00186276,块矿：入炉比：64家钢铁企业（周度）,供需-配比,否,3742,11.738720
ID00186316,球团矿：入炉比：64家钢铁企业（周度）,供需-配比,否,3746,14.708091
ID00186325,烧结矿：入炉比：64家钢铁企业（周度）,供需-配比,否,3750,73.551325
ID00186326,烧结矿：入炉品位：64家钢铁企业（周度）,供需-配比,否,3760,55.680830
ID00186405,126家矿山企业（266座矿山）：铁精粉：日均产量：中华人民共和国（周度）,供应-产量,否,3745,40.303829
ID00186565,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（周度）,供应-发货量,是,3751,448.760680
ID00186567,铁矿石：发货量：福蒂斯丘金属集团→中华人民共和国（周度）,供应-发货量,否,3749,320.681430
ID00186568,铁矿石：发货量：力拓集团→中华人民共和国（周度）,供应-发货量,是,3751,495.508014
ID00186569,铁矿石：船舶到港量：曹妃甸港（周度）,供应-到港,否,3763,14.826202
ID00186570,铁矿石：船舶到港量：京唐港（周度）,供应-到港,否,3745,12.911081
ID00186571,铁矿石：船舶到港量：连云港港（周度）,供应-到港,否,3766,8.519915
ID00186572,铁矿石：船舶到港量：青岛港（周度）,供应-到港,否,3758,12.098989
ID00186573,铁矿石：船舶到港量：日照港（周度）,供应-到港,否,3753,11.088463
ID00186574,铁矿石：船舶到港量：天津港（周度）,供应-到港,否,3750,11.310933
ID00186575,铁矿石：船舶到港量：北方港口（周度）,供应-到港,否,3756,70.839457
ID00186576,铁矿石：到港量：曹妃甸港（周度）,供应-到港,否,3757,243.754059
ID00186577,铁矿石：到港量：京唐港（周度）,供应-到港,否,3748,196.864514
ID00186578,铁矿石：到港量：连云港港（周度）,供应-到港,否,3758,129.939109
ID00186579,铁矿石：到港量：青岛港（周度）,供应-到港,否,3760,202.696822
ID00186580,铁矿石：到港量：日照港（周度）,供应-到港,否,3763,170.385437
