列ID,列名,类型
ID00186670_lag_14,铁矿石：产量：巴西东南地区：巴西淡水河谷公司（季度）_lag14,factor
ID00186670_lag_30,铁矿石：产量：巴西东南地区：巴西淡水河谷公司（季度）_lag30,factor
ID00186130_lag_1,铁矿石：进口：日均疏港量：青岛港（周度）_lag1,factor
ID00186130_lag_7,铁矿石：进口：日均疏港量：青岛港（周度）_lag7,factor
ID00186130_lag_14,铁矿石：进口：日均疏港量：青岛港（周度）_lag14,factor
ID00186130_diff_1,铁矿石：进口：日均疏港量：青岛港（周度）_diff_1,factor
ID00186130_diff_7,铁矿石：进口：日均疏港量：青岛港（周度）_diff_7,factor
ID01155775_lag_2,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）_lag2,factor
ID01155775_lag_7,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）_lag7,factor
ID01155775_lag_14,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）_lag14,factor
ID01155775_diff_1,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）_diff_1,factor
ID01155775_diff_7,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）_diff_7,factor
ID01205344_diff_1,纽曼粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01205049_lag_1,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag1,factor
ID01205049_lag_2,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag2,factor
ID01205049_lag_30,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag30,factor
ID01205049_diff_1,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01205049_diff_7,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_diff_7,factor
ID00187002_lag_7,铁矿石：销售量合计：力拓集团（季度）_lag7,factor
ID02017513_lag_1,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag1,factor
ID02017513_lag_2,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag2,factor
ID02017513_lag_3,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag3,factor
ID02017513_lag_7,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag7,factor
ID02017513_lag_14,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag14,factor
ID02017513_lag_30,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_lag30,factor
ID02017513_diff_1,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_diff_1,factor
ID02017513_diff_7,铁矿石：进口：日均疏港量：华东地区：45个港口（周度）_diff_7,factor
ID01204822_lag_2,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag2,factor
ID01204822_lag_7,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag7,factor
ID01205076_lag_1,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）_lag1,factor
ID01205076_lag_7,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）_lag7,factor
ID01205076_diff_1,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）_diff_1,factor
ID01205076_diff_7,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）_diff_7,factor
ID01205343_lag_7,麦克粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）_lag7,factor
ID01205343_lag_14,麦克粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）_lag14,factor
ID01205343_pct_1,麦克粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）_pct_1,factor
ID00186318_diff_1,球团矿：进口：库存：45个港口（周度）_diff_1,factor
ID00186318_diff_7,球团矿：进口：库存：45个港口（周度）_diff_7,factor
ID00186318_pct_1,球团矿：进口：库存：45个港口（周度）_pct_1,factor
ID00186318_pct_7,球团矿：进口：库存：45个港口（周度）_pct_7,factor
ID01205399_lag_1,CSN精粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度_lag1,factor
ID01205399_lag_30,CSN精粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度_lag30,factor
ID01205399_diff_1,CSN精粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度_diff_1,factor
ID02017488_lag_1,铁矿石：进口：库存：华南地区：45个港口（周度）_lag1,factor
ID02017488_lag_7,铁矿石：进口：库存：华南地区：45个港口（周度）_lag7,factor
ID02017488_diff_1,铁矿石：进口：库存：华南地区：45个港口（周度）_diff_1,factor
ID02017488_diff_7,铁矿石：进口：库存：华南地区：45个港口（周度）_diff_7,factor
ID01516175_lag_7,FMG混合粉：港口库存：华东地区：贸易商：青岛港：明细（周度）_lag7,factor
ID01516175_diff_1,FMG混合粉：港口库存：华东地区：贸易商：青岛港：明细（周度）_diff_1,factor
ID01516175_diff_7,FMG混合粉：港口库存：华东地区：贸易商：青岛港：明细（周度）_diff_7,factor
ID00186052_lag_1,铁矿石：进口：库存：45个港口（周度）_lag1,inventory
ID00186052_lag_2,铁矿石：进口：库存：45个港口（周度）_lag2,inventory
ID00186052_lag_3,铁矿石：进口：库存：45个港口（周度）_lag3,inventory
ID00186052_lag_7,铁矿石：进口：库存：45个港口（周度）_lag7,inventory
ID00186052_lag_14,铁矿石：进口：库存：45个港口（周度）_lag14,inventory
ID00186052_lag_30,铁矿石：进口：库存：45个港口（周度）_lag30,inventory
ID00186052_diff_1,铁矿石：进口：库存：45个港口（周度）_diff_1,inventory
ID00186052_diff_7,铁矿石：进口：库存：45个港口（周度）_diff_7,inventory
ID00186052_pct_1,铁矿石：进口：库存：45个港口（周度）_pct_1,inventory
ID00186052_pct_7,铁矿石：进口：库存：45个港口（周度）_pct_7,inventory
ID01602638_lag_2,铁矿石：发运量：力拓集团→中华人民共和国（日度）_lag2,factor
ID01602638_lag_3,铁矿石：发运量：力拓集团→中华人民共和国（日度）_lag3,factor
ID01602638_lag_7,铁矿石：发运量：力拓集团→中华人民共和国（日度）_lag7,factor
ID01602638_lag_14,铁矿石：发运量：力拓集团→中华人民共和国（日度）_lag14,factor
ID01602638_lag_30,铁矿石：发运量：力拓集团→中华人民共和国（日度）_lag30,factor
ID01602638_diff_1,铁矿石：发运量：力拓集团→中华人民共和国（日度）_diff_1,factor
ID01602638_pct_1,铁矿石：发运量：力拓集团→中华人民共和国（日度）_pct_1,factor
ID01602638_pct_7,铁矿石：发运量：力拓集团→中华人民共和国（日度）_pct_7,factor
ID02017551_lag_1,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_lag1,factor
ID02017551_lag_2,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_lag2,factor
ID02017551_lag_7,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_lag7,factor
ID02017551_lag_14,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_lag14,factor
ID02017551_lag_30,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_lag30,factor
ID02017551_diff_1,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_diff_1,factor
ID02017551_diff_7,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_diff_7,factor
ID02017551_pct_7,铁矿石：进口：日均疏港量：华北地区：41个港口（周度）_pct_7,factor
ID01205052_lag_1,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag1,factor
ID01205052_lag_7,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag7,factor
ID01205052_lag_14,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag14,factor
ID01205052_diff_7,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_diff_7,factor
ID00186568_lag_1,铁矿石：发货量：力拓集团→中华人民共和国（周度）_lag1,factor
ID00186568_lag_2,铁矿石：发货量：力拓集团→中华人民共和国（周度）_lag2,factor
ID00186568_lag_7,铁矿石：发货量：力拓集团→中华人民共和国（周度）_lag7,factor
ID00186568_lag_14,铁矿石：发货量：力拓集团→中华人民共和国（周度）_lag14,factor
ID00186568_diff_1,铁矿石：发货量：力拓集团→中华人民共和国（周度）_diff_1,factor
ID00186568_diff_7,铁矿石：发货量：力拓集团→中华人民共和国（周度）_diff_7,factor
ID01205043_diff_7,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_diff_7,factor
ID02017574_lag_1,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_lag1,factor
ID02017574_lag_2,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_lag2,factor
ID02017574_lag_3,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_lag3,factor
ID02017574_lag_7,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_lag7,factor
ID02017574_lag_30,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_lag30,factor
ID02017574_diff_1,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_diff_1,factor
ID02017574_diff_7,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_diff_7,factor
ID02017574_pct_7,铁矿石：进口：日均疏港量：华北地区：31个港口（周度）_pct_7,factor
ID00183109_lag_1,247家钢铁企业：高炉开工率：中华人民共和国（周度）_lag1,factor
ID00183109_lag_3,247家钢铁企业：高炉开工率：中华人民共和国（周度）_lag3,factor
ID00183109_lag_7,247家钢铁企业：高炉开工率：中华人民共和国（周度）_lag7,factor
ID00183109_lag_14,247家钢铁企业：高炉开工率：中华人民共和国（周度）_lag14,factor
ID00183109_lag_30,247家钢铁企业：高炉开工率：中华人民共和国（周度）_lag30,factor
ID00183109_diff_1,247家钢铁企业：高炉开工率：中华人民共和国（周度）_diff_1,factor
ID00183109_diff_7,247家钢铁企业：高炉开工率：中华人民共和国（周度）_diff_7,factor
ID01204817_lag_1,铁矿石：到港量：青岛港：力拓集团：明细（周度）_lag1,factor
ID01204817_diff_1,铁矿石：到港量：青岛港：力拓集团：明细（周度）_diff_1,factor
ID01204817_pct_1,铁矿石：到港量：青岛港：力拓集团：明细（周度）_pct_1,factor
ID01204817_pct_7,铁矿石：到港量：青岛港：力拓集团：明细（周度）_pct_7,factor
ID01205029_lag_1,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_lag1,factor
ID01205029_diff_1,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01205029_diff_7,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_diff_7,factor
RE00035609_lag_7,FMG混合粉：发货量：澳大利亚联邦：明细（周度）_lag7,factor
RE00035609_lag_14,FMG混合粉：发货量：澳大利亚联邦：明细（周度）_lag14,factor
RE00035609_lag_30,FMG混合粉：发货量：澳大利亚联邦：明细（周度）_lag30,factor
RE00035609_diff_1,FMG混合粉：发货量：澳大利亚联邦：明细（周度）_diff_1,factor
