列ID,列名,类型
ID01203836_P90_90d,铁矿石：到港量：乌克兰：45个港口：明细（周度）_P90_90d,factor
ID01204598_MA7,麦克粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01204598_MA60,麦克粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA60,factor
ID01204598_Ratio_MA30,麦克粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01204634_MA60,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA60,factor
ID01204634_MA90,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01204634_STD14,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01204634_Ratio_MA7,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA7,factor
ID01204634_Ratio_MA30,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01204797_MA5,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA5,factor
ID01204797_MA14,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01204797_STD7,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01204797_STD30,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD30,factor
ID01204797_STD60,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01204797_Spread_90d,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Spread_90d,factor
ID01204797_Ratio_MA30,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01204797_MA7_MA30,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01204800_STD60,纽曼粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01204800_Spread_60d,纽曼粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Spread_60d,factor
ID01204802_MA5,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA5,factor
ID01204802_MA7,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01204802_MA14,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01204802_MA90,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01204802_STD7,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01204802_STD14,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01204802_STD60,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01204802_Spread_60d,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Spread_60d,factor
ID01204802_P90_90d,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_P90_90d,factor
ID01204802_MA7_MA30,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01204805_MA3,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_MA3,factor
ID01204805_MA7,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_MA7,factor
ID01204805_STD14,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_STD14,factor
ID01204805_Spread_90d,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_Spread_90d,factor
ID01204805_Ratio_MA7,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_Ratio_MA7,factor
ID01204805_Ratio_MA30,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_Ratio_MA30,factor
ID01204805_MA7_MA30,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_MA7_MA30,factor
ID01204812_MA90,PB块：到港量：青岛港：力拓集团：明细（周度）_MA90,factor
ID01204812_STD7,PB块：到港量：青岛港：力拓集团：明细（周度）_STD7,factor
ID01204812_Spread_60d,PB块：到港量：青岛港：力拓集团：明细（周度）_Spread_60d,factor
ID01204812_P90_90d,PB块：到港量：青岛港：力拓集团：明细（周度）_P90_90d,factor
ID01204812_Ratio_MA7,PB块：到港量：青岛港：力拓集团：明细（周度）_Ratio_MA7,factor
ID01204812_MA7_MA30,PB块：到港量：青岛港：力拓集团：明细（周度）_MA7_MA30,factor
ID01204812_MOM20,PB块：到港量：青岛港：力拓集团：明细（周度）_MOM20,factor
ID01204813_MA7,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01204813_MA30,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA30,factor
ID01204813_STD7,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01204813_STD14,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01204813_STD60,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01204813_Ratio_MA30,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01204813_MA7_MA30,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01204815_MA5,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA5,factor
ID01204815_MA7,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA7,factor
ID01204815_MA14,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA14,factor
ID01204815_MA60,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA60,factor
ID01204815_MA90,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA90,factor
ID01204815_STD7,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_STD7,factor
ID01204815_STD14,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_STD14,factor
ID01204815_STD30,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_STD30,factor
ID01204815_P90_30d,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_P90_30d,factor
ID01204815_P90_90d,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_P90_90d,factor
ID01204815_Ratio_MA7,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_Ratio_MA7,factor
ID01204815_Ratio_MA30,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_Ratio_MA30,factor
ID01204815_MA7_MA30,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MA7_MA30,factor
ID01204815_MOM20,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）_MOM20,factor
ID01204817_MA5,铁矿石：到港量：青岛港：力拓集团：明细（周度）_MA5,factor
ID01204817_MA7,铁矿石：到港量：青岛港：力拓集团：明细（周度）_MA7,factor
ID01204817_MA60,铁矿石：到港量：青岛港：力拓集团：明细（周度）_MA60,factor
ID01204817_STD7,铁矿石：到港量：青岛港：力拓集团：明细（周度）_STD7,factor
ID01204817_STD30,铁矿石：到港量：青岛港：力拓集团：明细（周度）_STD30,factor
ID01204817_P90_30d,铁矿石：到港量：青岛港：力拓集团：明细（周度）_P90_30d,factor
ID01204817_Spread_30d,铁矿石：到港量：青岛港：力拓集团：明细（周度）_Spread_30d,factor
ID01204817_P10_60d,铁矿石：到港量：青岛港：力拓集团：明细（周度）_P10_60d,factor
ID01204817_Ratio_MA7,铁矿石：到港量：青岛港：力拓集团：明细（周度）_Ratio_MA7,factor
ID01204817_Ratio_MA30,铁矿石：到港量：青岛港：力拓集团：明细（周度）_Ratio_MA30,factor
ID01204822_STD14,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_STD14,factor
ID01204822_Spread_30d,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_Spread_30d,factor
ID01204822_Ratio_MA7,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_Ratio_MA7,factor
ID01204828_STD14,卡拉加斯粉：到港量：青岛港：巴西淡水河谷公司：明细（周度）_STD14,factor
ID01204828_P90_90d,卡拉加斯粉：到港量：青岛港：巴西淡水河谷公司：明细（周度）_P90_90d,factor
ID01204829_MA3,PB粉：到港量：青岛港：力拓集团：明细（周度）_MA3,factor
ID01204829_MA7,PB粉：到港量：青岛港：力拓集团：明细（周度）_MA7,factor
ID01204829_MA60,PB粉：到港量：青岛港：力拓集团：明细（周度）_MA60,factor
ID01204829_STD7,PB粉：到港量：青岛港：力拓集团：明细（周度）_STD7,factor
ID01204829_STD14,PB粉：到港量：青岛港：力拓集团：明细（周度）_STD14,factor
ID01204829_STD30,PB粉：到港量：青岛港：力拓集团：明细（周度）_STD30,factor
ID01204829_STD60,PB粉：到港量：青岛港：力拓集团：明细（周度）_STD60,factor
ID01204829_Spread_30d,PB粉：到港量：青岛港：力拓集团：明细（周度）_Spread_30d,factor
ID01204829_MA7_MA30,PB粉：到港量：青岛港：力拓集团：明细（周度）_MA7_MA30,factor
ID01204829_MOM5,PB粉：到港量：青岛港：力拓集团：明细（周度）_MOM5,factor
ID01204829_MOM10,PB粉：到港量：青岛港：力拓集团：明细（周度）_MOM10,factor
ID01204829_MOM20,PB粉：到港量：青岛港：力拓集团：明细（周度）_MOM20,factor
ID01205015_MA7,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01205015_MA14,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01205015_STD7,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01205015_STD30,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD30,factor
ID01205015_STD60,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01205015_Spread_30d,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Spread_30d,factor
ID01205015_MA7_MA30,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01205017_MA3,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA3,factor
ID01205017_MA90,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01205017_STD30,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD30,factor
ID01205017_P90_60d,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_60d,factor
ID01205020_MA3,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA3,factor
ID01205020_MA7,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA7,factor
ID01205020_MA90,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA90,factor
ID01205020_STD7,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD7,factor
ID01205020_STD14,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD14,factor
ID01205020_STD60,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD60,factor
ID01205020_Ratio_MA7,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_Ratio_MA7,factor
ID01205020_MA7_MA30,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA7_MA30,factor
ID01205023_MA3,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA3,factor
ID01205023_MA14,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA14,factor
ID01205023_MA30,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA30,factor
ID01205023_MA60,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA60,factor
ID01205023_MA90,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA90,factor
ID01205023_STD7,铁矿石：到港量：江阴港：力拓集团：明细（周度）_STD7,factor
ID01205023_STD14,铁矿石：到港量：江阴港：力拓集团：明细（周度）_STD14,factor
ID01205023_STD30,铁矿石：到港量：江阴港：力拓集团：明细（周度）_STD30,factor
ID01205023_STD60,铁矿石：到港量：江阴港：力拓集团：明细（周度）_STD60,factor
ID01205023_P10_30d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P10_30d,factor
ID01205023_P90_30d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P90_30d,factor
ID01205023_Spread_30d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_Spread_30d,factor
ID01205023_P10_60d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P10_60d,factor
ID01205023_P90_60d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P90_60d,factor
ID01205023_Spread_60d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_Spread_60d,factor
ID01205023_P10_90d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P10_90d,factor
ID01205023_P90_90d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_P90_90d,factor
ID01205023_Spread_90d,铁矿石：到港量：江阴港：力拓集团：明细（周度）_Spread_90d,factor
ID01205023_Ratio_MA7,铁矿石：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA7,factor
ID01205023_Ratio_MA30,铁矿石：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA30,factor
ID01205023_MA7_MA30,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MA7_MA30,factor
ID01205023_MOM5,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MOM5,factor
ID01205023_MOM10,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MOM10,factor
ID01205023_MOM20,铁矿石：到港量：江阴港：力拓集团：明细（周度）_MOM20,factor
ID01205029_MA3,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA3,factor
ID01205029_MA5,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA5,factor
ID01205029_MA7,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01205029_MA14,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01205029_MA30,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA30,factor
ID01205029_MA60,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA60,factor
ID01205029_MA90,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01205029_STD7,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01205029_STD14,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01205029_STD30,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD30,factor
ID01205029_STD60,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01205029_P10_30d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_30d,factor
ID01205029_P90_30d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_30d,factor
ID01205029_Spread_30d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Spread_30d,factor
ID01205029_P10_60d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_60d,factor
ID01205029_P90_60d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_60d,factor
ID01205029_P10_90d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_90d,factor
ID01205029_P90_90d,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_90d,factor
ID01205029_Ratio_MA7,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA7,factor
ID01205029_Ratio_MA30,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01205029_MA7_MA30,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01205035_MA3,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA3,factor
ID01205035_MA5,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA5,factor
ID01205035_MA7,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA7,factor
ID01205035_MA14,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA14,factor
ID01205035_MA30,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA30,factor
ID01205035_MA60,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA60,factor
ID01205035_MA90,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA90,factor
ID01205035_STD7,PB粉：到港量：江阴港：力拓集团：明细（周度）_STD7,factor
ID01205035_STD14,PB粉：到港量：江阴港：力拓集团：明细（周度）_STD14,factor
ID01205035_STD60,PB粉：到港量：江阴港：力拓集团：明细（周度）_STD60,factor
ID01205035_P10_30d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P10_30d,factor
ID01205035_P90_30d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P90_30d,factor
ID01205035_Spread_30d,PB粉：到港量：江阴港：力拓集团：明细（周度）_Spread_30d,factor
ID01205035_P10_60d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P10_60d,factor
ID01205035_P90_60d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P90_60d,factor
ID01205035_Spread_60d,PB粉：到港量：江阴港：力拓集团：明细（周度）_Spread_60d,factor
ID01205035_P10_90d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P10_90d,factor
ID01205035_P90_90d,PB粉：到港量：江阴港：力拓集团：明细（周度）_P90_90d,factor
ID01205035_Spread_90d,PB粉：到港量：江阴港：力拓集团：明细（周度）_Spread_90d,factor
ID01205035_Ratio_MA7,PB粉：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA7,factor
ID01205035_Ratio_MA30,PB粉：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA30,factor
ID01205035_MA7_MA30,PB粉：到港量：江阴港：力拓集团：明细（周度）_MA7_MA30,factor
ID01205035_MOM5,PB粉：到港量：江阴港：力拓集团：明细（周度）_MOM5,factor
ID01205035_MOM10,PB粉：到港量：江阴港：力拓集团：明细（周度）_MOM10,factor
ID01205035_MOM20,PB粉：到港量：江阴港：力拓集团：明细（周度）_MOM20,factor
ID01205042_MA5,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA5,factor
ID01205042_MA14,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01205042_MA30,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA30,factor
ID01205042_MA60,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA60,factor
ID01205042_MA90,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01205042_STD7,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01205042_STD14,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01205042_STD30,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD30,factor
ID01205042_STD60,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01205042_P10_30d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_30d,factor
ID01205042_P90_30d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_30d,factor
ID01205042_Spread_30d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Spread_30d,factor
ID01205042_P10_60d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_60d,factor
ID01205042_P90_60d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_60d,factor
ID01205042_Spread_60d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Spread_60d,factor
ID01205042_P10_90d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P10_90d,factor
ID01205042_P90_90d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_P90_90d,factor
ID01205042_Spread_90d,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Spread_90d,factor
ID01205042_Ratio_MA7,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA7,factor
ID01205042_Ratio_MA30,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA30,factor
ID01205042_MA7_MA30,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MA7_MA30,factor
ID01205042_MOM5,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MOM5,factor
ID01205042_MOM10,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MOM10,factor
ID01205042_MOM20,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_MOM20,factor
ID01205043_MA14,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA14,factor
ID01205043_MA30,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA30,factor
ID01205043_MA60,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA60,factor
ID01205043_MA90,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA90,factor
ID01205043_STD7,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD7,factor
ID01205043_STD14,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD14,factor
ID01205043_STD30,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD30,factor
ID01205043_STD60,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_STD60,factor
ID01205043_P10_30d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_P10_30d,factor
ID01205043_Spread_30d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_Spread_30d,factor
ID01205043_P10_60d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_P10_60d,factor
ID01205043_P90_60d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_P90_60d,factor
ID01205043_P10_90d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_P10_90d,factor
ID01205043_P90_90d,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_P90_90d,factor
ID01205043_Ratio_MA7,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_Ratio_MA7,factor
ID01205043_Ratio_MA30,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_Ratio_MA30,factor
ID01205043_MA7_MA30,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）_MA7_MA30,factor
ID01205048_MA3,PB块：到港量：江阴港：力拓集团：明细（周度）_MA3,factor
ID01205048_MA5,PB块：到港量：江阴港：力拓集团：明细（周度）_MA5,factor
ID01205048_MA7,PB块：到港量：江阴港：力拓集团：明细（周度）_MA7,factor
ID01205048_MA14,PB块：到港量：江阴港：力拓集团：明细（周度）_MA14,factor
ID01205048_MA30,PB块：到港量：江阴港：力拓集团：明细（周度）_MA30,factor
ID01205048_MA60,PB块：到港量：江阴港：力拓集团：明细（周度）_MA60,factor
ID01205048_MA90,PB块：到港量：江阴港：力拓集团：明细（周度）_MA90,factor
ID01205048_STD7,PB块：到港量：江阴港：力拓集团：明细（周度）_STD7,factor
ID01205048_STD14,PB块：到港量：江阴港：力拓集团：明细（周度）_STD14,factor
ID01205048_STD30,PB块：到港量：江阴港：力拓集团：明细（周度）_STD30,factor
ID01205048_STD60,PB块：到港量：江阴港：力拓集团：明细（周度）_STD60,factor
ID01205048_P10_30d,PB块：到港量：江阴港：力拓集团：明细（周度）_P10_30d,factor
ID01205048_P90_30d,PB块：到港量：江阴港：力拓集团：明细（周度）_P90_30d,factor
ID01205048_Spread_30d,PB块：到港量：江阴港：力拓集团：明细（周度）_Spread_30d,factor
ID01205048_P10_60d,PB块：到港量：江阴港：力拓集团：明细（周度）_P10_60d,factor
ID01205048_P90_60d,PB块：到港量：江阴港：力拓集团：明细（周度）_P90_60d,factor
ID01205048_Spread_60d,PB块：到港量：江阴港：力拓集团：明细（周度）_Spread_60d,factor
ID01205048_P10_90d,PB块：到港量：江阴港：力拓集团：明细（周度）_P10_90d,factor
ID01205048_P90_90d,PB块：到港量：江阴港：力拓集团：明细（周度）_P90_90d,factor
ID01205048_Spread_90d,PB块：到港量：江阴港：力拓集团：明细（周度）_Spread_90d,factor
ID01205048_Ratio_MA7,PB块：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA7,factor
ID01205048_Ratio_MA30,PB块：到港量：江阴港：力拓集团：明细（周度）_Ratio_MA30,factor
ID01205048_MA7_MA30,PB块：到港量：江阴港：力拓集团：明细（周度）_MA7_MA30,factor
ID01205048_MOM5,PB块：到港量：江阴港：力拓集团：明细（周度）_MOM5,factor
ID01205048_MOM10,PB块：到港量：江阴港：力拓集团：明细（周度）_MOM10,factor
ID01205048_MOM20,PB块：到港量：江阴港：力拓集团：明细（周度）_MOM20,factor
ID01205049_MA3,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA3,factor
ID01205049_MA5,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA5,factor
ID01205049_MA7,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA7,factor
ID01205049_MA14,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA14,factor
ID01205049_MA30,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA30,factor
ID01205049_MA60,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA60,factor
ID01205049_MA90,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_MA90,factor
ID01205049_STD7,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_STD7,factor
ID01205049_STD14,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_STD14,factor
ID01205049_STD60,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_STD60,factor
ID01205049_P10_30d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P10_30d,factor
ID01205049_P90_30d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P90_30d,factor
ID01205049_Spread_30d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_Spread_30d,factor
ID01205049_P10_60d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P10_60d,factor
ID01205049_P90_60d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P90_60d,factor
ID01205049_P10_90d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P10_90d,factor
ID01205049_P90_90d,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_P90_90d,factor
ID01205049_Ratio_MA7,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_Ratio_MA7,factor
