列ID,列名,分组,有效样本数
ID02339971,麦克粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1207
ID02339982,纽曼粉：压港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1212
ID02339984,FMG混合粉：压港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-矿山,1205
ID02339994,PB粉：压港量：江阴港：力拓集团：明细（周度）,供应-矿山,1207
ID02339997,PB块：压港量：江阴港：力拓集团：明细（周度）,供应-矿山,1202
ID02340003,卡拉加斯粉：压港量：江阴港：巴西淡水河谷公司：明细（周度）,供应-矿山,1203
ID02340764,麦克粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1202
ID02340765,金布巴粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1210
ID02340766,纽曼粉：压港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-矿山,1211
ID02340771,FMG混合粉：压港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-矿山,1205
ID02340780,PB块：压港量：青岛港：力拓集团：明细（周度）,供应-矿山,1209
ID02340784,PB粉：压港量：青岛港：力拓集团：明细（周度）,供应-矿山,1206
ID02340800,卡拉加斯粉：压港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-矿山,1212
ID02342745,铁矿石：压港量：45个港口：明细（周度）,标的(Y变量),1210
IO_SHIP_RATE_BRA_CN_029,铁矿石淡水河谷发中国比例,供应-矿山,2298
IO_SHIP_VOL_GLOB_016,铁矿石淡水河谷发中国总量,供应-矿山,2296
RE00034097,FMG块矿：发货量：澳大利亚联邦：明细（周度）,供应-发货量,2666
RE00034153,FMG块矿：预计到港量：澳大利亚联邦：明细（周度）,供应-到港,2646
RE00035609,FMG混合粉：发货量：澳大利亚联邦：明细（周度）,供应-发货量,2664
G0002323,美国：ISM：制造业PMI,宏观-PMI,3751
ID00186565_month,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（月度）,供应-发货量,3726
ID01155775_month,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（月度）,供应-发货量,2792
ID01562396_month,PB块：到港量：47个港口：力拓集团：明细（月度）,供应-到港,1898
ID01562397_month,PB粉：到港量：47个港口：力拓集团：明细（月度）,供应-到港,1903
ID01562398_month,卡拉加斯粉：到港量：47个港口：巴西淡水河谷公司：明细（月度）,供应-到港,1900
IO_SHIP_VOL_GLOB_016_month,铁矿石淡水河谷发中国总量（月度）,供应-矿山,2259
M0017126,中国：制造业PMI,宏观-PMI,3781
ID00185747,PB粉：产量：力拓集团（季度）,供应-产量,3761
ID00185749,PB粉：销售数量：力拓集团（季度）,供应-矿山,3760
ID00185751,PB块：产量：力拓集团（季度）,供应-产量,3763
ID00185753,PB块：销售数量：力拓集团（季度）,供应-矿山,3765
ID00186193,块矿：85%Fe：销售数量：澳大利亚必和必拓集团（季度）,供应-矿山,3759
ID00186280,罗布河粉：产量：力拓集团（季度）,供应-产量,3761
ID00186281,罗布河粉：销售数量：力拓集团（以股份占比计）（季度）,供应-矿山,3761
ID00186282,罗布河粉：销售数量：力拓集团（季度）,供应-矿山,3761
ID00186284,罗布河块：产量：力拓集团（季度）,供应-产量,3767
ID00186285,罗布河块：销售数量：力拓集团（以股份占比计）（季度）,供应-矿山,3767
ID00186286,罗布河块：销售数量：力拓集团（季度）,供应-矿山,3767
ID00186408,铁精粉：85%Fe：销售数量：澳大利亚必和必拓集团（季度）,供应-矿山,3760
ID00186666,铁矿石：产量：澳大利亚必和必拓集团：100%股权（季度）,供应-产量,3756
ID00186669,铁矿石：产量：巴西北方地区：巴西淡水河谷公司（季度）,供应-产量,3761
ID00186670,铁矿石：产量：巴西东南地区：巴西淡水河谷公司（季度）,供应-产量,3764
ID00186671,铁矿石：产量：巴西南方地区：巴西淡水河谷公司（季度）,供应-产量,3760
ID00186684,铁矿石：产量：力拓集团（以股份占比计）（季度）,供应-产量,3763
ID00186985,铁矿石：销售量合计：澳大利亚必和必拓集团（季度）,供应-矿山,3758
ID00186990,铁矿石：销售量合计：全球：巴西淡水河谷公司（季度）,供应-矿山,3762
ID00187000,铁矿石：销售数量：中华人民共和国：巴西淡水河谷公司（季度）,供应-矿山,3762
ID00187001,铁矿石：销售量合计：力拓集团：力拓皮尔巴拉矿区（季度）,供应-矿山,3761
ID00187002,铁矿石：销售量合计：力拓集团（季度）,供应-矿山,3762
ID00187017,巴西淡水河谷公司：销售数量：铁矿石（除原矿）（季度）,供应-矿山,3763
